1.29,-0.0045,1,10,9,-3933.1,-1.0711e+05,-98195
1.29,-0.0045,1,10,10,-3131.2,-98706,-98718
1.29,-0.0045,1,10,11,-2457.2,-91373,-98609
1.29,-0.0045,1,10,12,-1875.5,-84874,-97935
1.29,-0.0045,1,10,13,-1370.1,-79077,-96774
1.29,-0.0045,1,10,14,-926.25,-73865,-95182
1.29,-0.0045,1,10,15,-532.82,-69148,-93203
1.29,-0.0045,1,10,16,-181.31,-64853,-90877
1.29,-0.0045,1,10,17,134.97,-60921,-88235
1.29,-0.0045,1,10,18,421.35,-57306,-85306
1.29,-0.0045,1,10,19,682.08,-53966,-82113
1.29,-0.0045,1,10,20,920.66,-50870,-78678
1.29,-0.0045,1,11,1,-35499,-3.2143e+05,-35508
1.29,-0.0045,1,11,2,-21965,-2.5441e+05,-55284
1.29,-0.0045,1,11,3,-15360,-2.1282e+05,-67646
1.29,-0.0045,1,11,4,-11394,-1.8352e+05,-76034
1.29,-0.0045,1,11,5,-8725.3,-1.6138e+05,-81895
1.29,-0.0045,1,11,6,-6795.3,-1.4386e+05,-85977
1.29,-0.0045,1,11,7,-5328,-1.2956e+05,-88722
1.29,-0.0045,1,11,8,-4170.8,-1.176e+05,-90413
1.29,-0.0045,1,11,9,-3232,-1.0741e+05,-91248
1.29,-0.0045,1,11,10,-2457.2,-98606,-91375
1.29,-0.0045,1,11,11,-1799.5,-90882,-90885
1.29,-0.0045,1,11,12,-1235.6,-84047,-89867
1.29,-0.0045,1,11,13,-746.02,-77943,-88386
1.29,-0.0045,1,11,14,-316.38,-72451,-86495
1.29,-0.0045,1,11,15,64.148,-67477,-84237
1.29,-0.0045,1,11,16,403.91,-62945,-81649
1.29,-0.0045,1,11,17,709.42,-58794,-78761
1.29,-0.0045,1,11,18,985.87,-54975,-75600
1.29,-0.0045,1,11,19,1237.4,-51446,-72188
1.29,-0.0045,1,11,20,1467.5,-48173,-68545
1.29,-0.0045,1,12,1,-34219,-3.2715e+05,-34227
1.29,-0.0045,1,12,2,-20958,-2.5888e+05,-53054
1.29,-0.0045,1,12,3,-14486,-2.1623e+05,-64630
1.29,-0.0045,1,12,4,-10603,-1.8606e+05,-72340
1.29,-0.0045,1,12,5,-7992.1,-1.6318e+05,-77604
1.29,-0.0045,1,12,6,-6106,-1.4503e+05,-81154
1.29,-0.0045,1,12,7,-4673.5,-1.3018e+05,-83420
1.29,-0.0045,1,12,8,-3544.7,-1.1774e+05,-84677
1.29,-0.0045,1,12,9,-2633.7,-1.0713e+05,-85122
